,title,artist,year,bpm,en,dnce,loud,live,val,dur,acous,speech,pop
1909,Guitar Man,Elvis Presley,1967,114,66,60,-13,7,91,139,54,6,41
1910,Ain't No Mountain High Enough,Marvin Gaye,1967,130,60,66,-11,18,80,152,43,3,80
1911,San Francisco (Be Sure to Wear Some Flowers In Your Hair),Scott McKenzie,1967,112,67,50,-6,22,48,179,5,3,53
1912,She's Leaving Home - Remastered 2009,The Beatles,1967,128,21,38,-12,11,39,215,94,3,63
1913,I'm a Believer - 2006 Remaster,The Monkees,1967,80,78,53,-6,22,96,167,71,4,73
1914,Waterloo Sunset - Mono Mix,The Kinks,1967,108,69,51,-7,17,42,194,16,2,66
1915,Sunshine Of Your Love,Cream,1967,115,48,68,-13,12,78,250,48,4,74
1916,Break on Through (To the Other Side),The Doors,1967,90,75,42,-10,17,79,146,20,5,72
1917,Somebody to Love,Jefferson Airplane,1967,132,58,50,-9,32,65,175,41,3,69
1918,Green Green Grass Of Home,Tom Jones,1967,95,41,54,-13,10,82,185,16,3,62
1919,To Love Somebody,Bee Gees,1967,90,38,42,-13,27,52,182,73,3,66
1920,Pastorale - Remastered,Liesbeth List,1968,112,52,46,-9,28,35,256,65,3,45
1921,(Sittin' On) the Dock of the Bay,Otis Redding,1968,104,37,77,-11,8,54,164,68,3,73
1922,Blackbird - Remastered 2009,The Beatles,1968,94,13,69,-14,6,37,138,75,3,74
1923,I Put A Spell On You,Creedence Clearwater Revival,1968,100,73,39,-8,10,62,272,0,3,60
1924,While My Guitar Gently Weeps - Remastered 2009,The Beatles,1968,115,65,45,-9,17,70,285,2,3,70
1925,All Along the Watchtower,Jimi Hendrix,1968,113,81,44,-6,8,56,241,0,6,77
1926,"Window Of My Eyes - From ""The American"" Soundtrack",Cuby & The Blizzards,1968,184,53,41,-9,31,41,206,19,3,43
1927,I Say a Little Prayer,Aretha Franklin,1968,133,36,59,-14,6,50,217,48,4,75
1928,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1968,111,32,65,-9,19,28,167,21,3,69
1929,White Room,Cream,1968,110,58,55,-13,4,46,298,19,3,74
1930,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,1968,92,46,61,-14,7,81,244,71,5,76
1931,What A Wonderful World - Single Version,Louis Armstrong,1968,77,17,27,-21,12,20,139,73,4,68
1932,Lea,The Cats,1968,167,52,18,-8,6,42,222,39,3,48
1933,The Weight - Remastered,The Band,1968,144,55,63,-9,10,52,274,37,5,72
1934,Ain't Got No - I Got Life - Remastered,Nina Simone,1968,122,72,62,-10,76,89,176,20,4,48
1935,Voodoo Child (Slight Return),Jimi Hendrix,1968,176,91,21,-7,5,45,313,48,39,67
1936,Suzie Q,Creedence Clearwater Revival,1968,130,62,44,-11,17,70,517,6,3,56
1937,Born To Be Wild - Single Version,Steppenwolf,1968,146,73,44,-12,24,54,213,26,10,67
1938,Words,Bee Gees,1968,80,29,26,-10,16,25,198,14,3,59
1939,Massachussetts,Bee Gees,1968,102,44,48,-14,6,42,148,1,3,57
1940,Times Were When,The Cats,1968,99,56,45,-9,5,61,191,24,3,43
1941,I Started A Joke,Bee Gees,1968,145,46,31,-9,13,43,188,16,3,66
1942,MacArthur Park,Richard Harris,1968,170,34,25,-16,14,37,450,80,3,36
1943,I'd Rather Go Blind,Etta James,1968,83,43,48,-6,15,61,157,69,2,67
1944,Daydream Believer,The Monkees,1968,126,49,51,-10,11,65,180,26,3,69
1945,Back In The U.S.S.R. - Remastered 2009,The Beatles,1968,142,97,48,-7,6,49,163,7,9,66
1946,"Girl, You'll Be A Woman Soon",Neil Diamond,1968,110,64,52,-6,32,66,180,57,3,59
1947,Here Comes The Sun - Remastered 2009,The Beatles,1969,129,54,56,-10,18,39,186,3,3,82
1948,Space Oddity - 2015 Remaster,David Bowie,1969,140,44,30,-13,18,43,319,7,3,73
